GP_Name,GP_Address,GP_LocationText,GP_LocationLink,latitude,longitude,latitude,longitude
Bayside Family Practice,"Bayside Shopping Centre, Bayside Square East, Killbarrack, Dublin, D13  Kt59",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D13 Kt59,NA,NA,53.3892473,-6.1396635
Bayside Medical Centre,"Bayside Shopping Centre, Bayside Square East, Sutton, Dublin, D13  W2k1",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D13 W2k1,NA,NA,53.3892473,-6.1396635
Bayview Family Practice Ballyshannon,"Townparks, Ballyshannon, Donegal, F94  Tpx4",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Kub9x6bsiscbdzuj8,NA,NA,54.5020377,-8.1853191
Bayview Family Practice Bundoran,"Station Road, Drumacrin, Bundoran, Donegal, F94  Dr52",Location And Directions - Google Maps,Https://Maps.app.goo.gl/3eotxhkdp7vo4bus8,NA,NA,54.4782493,-8.2772955
Bayview Medical,"5 Killiney Shopping Centre, Rochestown Avenue, Dun Laoghaire, Dublin, A96  Xa78",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A96 Xa78,NA,NA,53.2731062,-6.1467847
Beacon Clinic,"Beacon Court, Sandyford Business Park, Sandyford, Dublin, D18  E7p4",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D18 E7p4,NA,NA,53.2757368,-6.2194441
Beaumont Park Clinic,"77 The Park, Beaumont Woods, Beaumont, Dublin, D09  T974",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D09 T974,NA,NA,53.3899283,-6.2298018
Bedford Medical Centre,"Convent Road, Navan, Meath, C15  Pd0v",Location And Directions - Google Maps,Https://Maps.google.com/?Q=C15 Pd0v,NA,NA,53.64908,-6.6734283
Beechlawn Medical Centre,"Carrickbrennan Road, Monkstown, Dublin, A94  Nx03",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A94 Nx03,NA,NA,53.2918366,-6.1514533
Beechview Medical And Dental,"Navan Road, Blanchardstown, Dublin, D15  P6wa",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D15 P6wa,NA,NA,53.3868491,-6.3716687
Beechwood Medical,"46 Ashfield Road, Ranelagh, Dublin, D06  X320",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D06 X320,NA,NA,53.32409939999999,-6.252644699999999
Belarmine Medical Centre,"Belarmine Plaza, Belarmine Avenue, Stepaside, Dublin, D18  W5w9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D18 W5w9,NA,NA,53.2606214,-6.2205825
Belgrave Clinic,"3 Charleston Road, Dublin 6, Dublin, D06  V6t3",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D06 V6t3,NA,NA,53.3237078,-6.2598987
Bellview Clinic,"Dublin Road, Mullingar, Westmeath, N91  Ek7r",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N91 Ek7r,NA,NA,53.5245408,-7.3169333
